id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
1055,"Elwyn, John",Male,1916–1997,1916,1997,"Newcastle Emlyn, United Kingdom",,http://www.tate.org.uk/art/artists/john-elwyn-1055
1056,"Emanuel, Frank L.",Male,1865–1948,1865,1948,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frank-l-emanuel-1056
1057,"Emett, Rowland",Male,1906–1990,1906,1990,"London, United Kingdom","Sussex, United Kingdom",http://www.tate.org.uk/art/artists/rowland-emett-1057
1058,"Emilian, Céline",Female,1902–1981,1902,1981,"Paris, France",,http://www.tate.org.uk/art/artists/celine-emilian-1058
2590,"Emin, Tracey",Female,born 1963,1963,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/tracey-emin-2590
14475,"Eneroth, Joakim",Male,born 1969,1969,,Sverige,,http://www.tate.org.uk/art/artists/joakim-eneroth-14475
1059,"Engelbach, Florence",Female,1872–1951,1872,1951,"Jerez de la Frontera, España",,http://www.tate.org.uk/art/artists/florence-engelbach-1059
12112,"English, Simon",Male,born 1959,1959,,,,http://www.tate.org.uk/art/artists/simon-english-12112
1060,"Ensor, James",Male,1860–1949,1860,1949,"Oostende, België","Oostende, België",http://www.tate.org.uk/art/artists/james-ensor-1060
13597,"Epstein, Mitch",Male,born 1952,1952,,"Holyoke, United States",,http://www.tate.org.uk/art/artists/mitch-epstein-13597
1061,"Epstein, Sir Jacob",Male,1880–1959,1880,1959,"New York, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-jacob-epstein-1061
1062,"Erlanger, Rodolphe d'",Male,1872–1932,1872,1932,"Boulogne-Billancourt, France","Tunis, Tunis",http://www.tate.org.uk/art/artists/rodolphe-derlanger-1062
1063,"Erma, Thomas",Male,1939–1964,1939,1964,"Tartu, Eesti","Paris, France",http://www.tate.org.uk/art/artists/thomas-erma-1063
1064,"Ernest, John",Male,1922–1994,1922,1994,"Philadelphia, United States","Exeter, United Kingdom",http://www.tate.org.uk/art/artists/john-ernest-1064
1065,"Ernst, Max",Male,1891–1976,1891,1976,"Brühl, Deutschland","Paris, France",http://www.tate.org.uk/art/artists/max-ernst-1065
15851,"Errazuriz, Paz",Female,born 1944,1944,,"Santiago, Chile",,http://www.tate.org.uk/art/artists/paz-errazuriz-15851
1066,Erté,Male,1892–1990,1892,1990,"Sankt-Peterburg, Rossiya",,http://www.tate.org.uk/art/artists/erte-romain-de-tirtoff-1066
12043,"Erwitt, Elliot",Male,born 1928,1928,,"Paris, France",,http://www.tate.org.uk/art/artists/elliot-erwitt-12043
13676,"Eskandarfar, Samira",Female,born 1980,1980,,"Tehran, Îran",,http://www.tate.org.uk/art/artists/samira-eskandarfar-13676
4831,"Espaliú, Pepe",Male,1955–1993,1955,1993,"Córdoba, España","Córdoba, España",http://www.tate.org.uk/art/artists/pepe-espaliu-4831
14308,"Espinoza, Eugenio",,born 1950,1950,,,,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308
3028,"Essenhigh, Inka",Female,born 1969,1969,,"Pennsylvania, United States",,http://www.tate.org.uk/art/artists/inka-essenhigh-3028
2628,"Essex, Lord",Male,,,,,,http://www.tate.org.uk/art/artists/lord-essex-2628
1067,"Estes, Richard",Male,born 1936,1936,,"Evanston, United States",,http://www.tate.org.uk/art/artists/richard-estes-1067
1068,"Estève, Maurice",Male,1904–2001,1904,2001,"Cher, France",,http://www.tate.org.uk/art/artists/maurice-esteve-1068
1069,"Etchells, Frederick",Male,1886–1973,1886,1973,"Newcastle upon Tyne, United Kingdom",,http://www.tate.org.uk/art/artists/frederick-etchells-1069
7080,"Ethridge, Roe",Male,born 1969,1969,,"Miami, United States",,http://www.tate.org.uk/art/artists/roe-ethridge-7080
1070,"Etrog, Sorel",Male,born 1933,1933,,"Iasi, România",,http://www.tate.org.uk/art/artists/sorel-etrog-1070
172,"Etty, William",Male,1787–1849,1787,1849,"York, United Kingdom","York, United Kingdom",http://www.tate.org.uk/art/artists/william-etty-172
1071,"Eurich, Richard",Male,1903–1992,1903,1992,"Bradford, United Kingdom",,http://www.tate.org.uk/art/artists/richard-eurich-1071
1072,"Evans, Garth",Male,born 1934,1934,,"Cheshire, United Kingdom",,http://www.tate.org.uk/art/artists/garth-evans-1072
3246,"Evans, Jason",Male,born 1968,1968,,"Holyhead, United Kingdom",,http://www.tate.org.uk/art/artists/jason-evans-3246
1073,"Evans, Merlyn Oliver",Male,1910–1973,1910,1973,"Cardiff, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/merlyn-oliver-evans-1073
2224,"Evans, Sebastian",Male,1830–1909,1830,1909,,,http://www.tate.org.uk/art/artists/sebastian-evans-2224
1074,"Eves, Reginald G",Male,1876–1941,1876,1941,"London, United Kingdom","Middleton in Teesdale, United Kingdom",http://www.tate.org.uk/art/artists/reginald-g-eves-1074
12939,"Ewan, Ruth",Female,born 1980,1980,,"Aberdeen, United Kingdom",,http://www.tate.org.uk/art/artists/ruth-ewan-12939
173,"Eworth, Hans",Male,active 1540–1573,1540,1573,"Antwerpen, België",,http://www.tate.org.uk/art/artists/hans-eworth-173
6411,"EXPORT, VALIE",Female,born 1940,1940,,Österreich,,http://www.tate.org.uk/art/artists/valie-export-6411
1075,"Eyton, Anthony",Male,born 1923,1923,,"Gloucestershire, United Kingdom",,http://www.tate.org.uk/art/artists/anthony-eyton-1075
1076,"Fabro, Luciano",Male,1936–2007,1936,2007,"Torino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/luciano-fabro-1076
